feature,importance,importance_pct,rang_shap
nb_evenements_total,0.1309010185418777,35.5203201727266,1
tenure_mois,0.10878046781197875,29.51785317074768,2
facture_moyenne_mensuelle,0.03097306407788347,8.404618734305966,3
taux_cookies,0.01231868351068887,3.3427057121497614,4
duree_appel_moyenne_sec,0.012118287633063305,3.288327787410563,5
nb_sessions,0.008791281322509753,2.3855362684145733,6
data_moyenne_gb,0.008369559780338874,2.27110106868499,7
duree_session_moyenne_sec,0.005794161654421973,1.5722603184463466,8
plan_tarifaire_Offre_Classique,0.005359301326366421,1.4542598761655363,9
qualite_signal_dominante,0.00519798663667287,1.410486729934089,10
score_qualite_zone,0.005063976023005306,1.3741226133134643,11
ratio_sms_appels,0.004636568961440592,1.2581446336157276,12
recence_session_jours,0.004458728791387389,1.2098872567807184,13
data_manquante,0.003980490552050812,1.0801161093190832,14
score_frustration,0.0036919628294835058,1.0018233870892739,15
ratio_data_voix,0.003442402428451762,0.934104545434534,16
moyen_paiement_prelevement_bancaire,0.0030954448869233444,0.8399567450681923,17
tendance_data_pct,0.002815354420320164,0.7639534934365749,18
flag_offre_data,0.0021282263814955344,0.5774995742036982,19
reclamation_manquante,0.0018685489084797203,0.5070354396544668,20
consentement_marketing,0.001385251968730002,0.37589160112950576,21
satisfaction_client,0.0012554892810893441,0.34068016990603434,22
genre_client_Homme,0.0012175471849994047,0.33038448683075067,23
zone_reseau_principale_SUBURBAIN,0.0004957413937475367,0.13452067237469822,24
satisfaction_manquante,0.00038477415293338915,0.10440943285717236,25
optout_marketing,0.0,0.0,26
flag_offre_voix,0.0,0.0,27
plan_tarifaire_Forfait_Mobile_Mixte,0.0,0.0,28
type_abonnement_Offre_a_Facture,0.0,0.0,29
moyen_paiement_ticket_recharge,0.0,0.0,30
zone_reseau_principale_URBAIN,0.0,0.0,31
